Incident_DRUG_TYPE_0,Incident_DRUG_TYPE_1,Incident_DRUG_TYPE_10,Incident_DRUG_TYPE_11,Incident_DRUG_TYPE_12,Incident_DRUG_TYPE_13,Incident_DRUG_TYPE_14,Incident_DRUG_TYPE_15,Incident_DRUG_TYPE_16,Incident_DRUG_TYPE_17,Incident_DRUG_TYPE_18,Incident_DRUG_TYPE_2,Incident_DRUG_TYPE_3,Incident_DRUG_TYPE_4,Incident_DRUG_TYPE_5,Incident_DRUG_TYPE_6,Incident_DRUG_TYPE_7,Incident_DRUG_TYPE_8,Incident_DRUG_TYPE_9,Incident_PRIMARY_DIAGNOSIS,Incident_SYMPTOM_TYPE_0,Incident_SYMPTOM_TYPE_1,Incident_SYMPTOM_TYPE_10,Incident_SYMPTOM_TYPE_11,Incident_SYMPTOM_TYPE_12,Incident_SYMPTOM_TYPE_13,Incident_SYMPTOM_TYPE_14,Incident_SYMPTOM_TYPE_15,Incident_SYMPTOM_TYPE_16,Incident_SYMPTOM_TYPE_17,Incident_SYMPTOM_TYPE_18,Incident_SYMPTOM_TYPE_19,Incident_SYMPTOM_TYPE_2,Incident_SYMPTOM_TYPE_20,Incident_SYMPTOM_TYPE_21,Incident_SYMPTOM_TYPE_22,Incident_SYMPTOM_TYPE_23,Incident_SYMPTOM_TYPE_24,Incident_SYMPTOM_TYPE_25,Incident_SYMPTOM_TYPE_26,Incident_SYMPTOM_TYPE_27,Incident_SYMPTOM_TYPE_28,Incident_SYMPTOM_TYPE_29,Incident_SYMPTOM_TYPE_3,Incident_SYMPTOM_TYPE_4,Incident_SYMPTOM_TYPE_5,Incident_SYMPTOM_TYPE_6,Incident_SYMPTOM_TYPE_7,Incident_SYMPTOM_TYPE_8,Incident_SYMPTOM_TYPE_9,Incident_TARGET DRUG,Incident_TEST_TYPE_0,Incident_TEST_TYPE_1,Incident_TEST_TYPE_2,Incident_TEST_TYPE_3,Incident_TEST_TYPE_4,Incident_TEST_TYPE_5
29,0,0,1,0,0,0,0,0,0,0,11,0,0,0,10,6,2,1,13,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0
8,27,0,0,0,0,0,0,0,0,0,13,7,0,0,6,4,26,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0
6,7,0,10,0,0,0,0,0,0,0,8,0,0,0,0,17,2,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,3,2,0,0,0,0
15,42,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,45,0,24,0,0,0,0,0,0,0,24,6,0,0,8,35,0,0,29,10,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,0,0,9,27,1,0,0,0
24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
5,26,0,0,0,0,0,0,0,0,0,27,0,0,0,74,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2,31,0,0,0,0,0,0,0,0,0,4,0,0,0,64,6,0,52,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,2,0,0,0,0
26,18,5,5,0,0,0,0,0,0,0,5,7,0,2,20,34,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,2,2,0,0,0,0
12,58,0,1,0,0,0,0,0,0,0,11,0,0,3,1,16,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0
